FECHA,PRECIP,EVAP,TMAX,TMIN,clas
10/03/2011,0,NULO,20.4,9.5,No
11/03/2011,0,NULO,22.5,6,No
12/03/2011,0,NULO,25.3,9.5,No
13/03/2011,0,NULO,26.1,9.3,No
14/03/2011,0.2,NULO,25.4,12.4,Si
15/03/2011,0,0.2,20.7,9,No
16/03/2011,0,NULO,24.3,9.6,No
17/03/2011,0,NULO,24.8,11,No
18/03/2011,0,NULO,25.8,10,No
19/03/2011,0,NULO,26.6,9.8,No
20/03/2011,0,NULO,27.4,11.5,No
21/03/2011,0,NULO,26.8,9.5,No
22/03/2011,0,NULO,27,9.7,No
23/03/2011,0,NULO,26.9,12.8,No
24/03/2011,0,NULO,27.7,11,No
25/03/2011,0,NULO,29,12,No
26/03/2011,0,NULO,29.2,14.5,No
27/03/2011,0,NULO,28.9,14.7,No
28/03/2011,0,NULO,30,14.5,No
29/03/2011,0,NULO,29.6,15.1,No
30/03/2011,0,NULO,30.3,15.2,No
31/03/2011,0,NULO,29.2,14,No
01/04/2011,0,NULO,28.1,14.3,No
02/04/2011,0,NULO,28.1,14,No
03/04/2011,0,NULO,26.5,13,No
04/04/2011,0,3.17,28.1,13,No
05/04/2011,0,3.48,27.7,12,No
06/04/2011,0,2.78,27.6,13,No
07/04/2011,0,2.33,28.8,15,No
08/04/2011,0,NULO,30.5,15.4,No
09/04/2011,0,NULO,30.4,15.5,No
10/04/2011,0,NULO,31,15,No
11/04/2011,0,NULO,30.8,16.5,No
12/04/2011,0,3.61,27.9,11.2,No
13/04/2011,0,2.69,29.9,15,No
14/04/2011,0,4,30.2,15,No
15/04/2011,6.2,NULO,29.7,17.5,Si
16/04/2011,36.1,6.2,26.1,10.8,Si
17/04/2011,0.5,8.79,25,11,Si
18/04/2011,1.4,3.14,24.9,10.6,Si
19/04/2011,0.1,5.11,26.5,12.2,Si
20/04/2011,0,3.97,28.4,11.2,No
21/04/2011,0,4.76,27.6,12.8,No
22/04/2011,0.5,NULO,28,12.5,Si
23/04/2011,0,NULO,27.8,14,No
24/04/2011,0.1,5.55,28.6,14.5,Si
25/04/2011,0,2.86,29,16.4,No
26/04/2011,0,NULO,30,11.8,No
27/04/2011,0,NULO,30.4,15.8,No
28/04/2011,0,2.94,28.6,14.9,No
29/04/2011,0,NULO,29.5,13.5,No
30/04/2011,1.7,NULO,29.5,14.6,Si
01/05/2011,32,1.7,29,15,Si
02/05/2011,1.2,3.19,28.3,12.7,Si
03/05/2011,0,1.1,21.5,13,No
04/05/2011,0.6,NULO,26.2,9,Si
05/05/2011,0,0.6,26.4,12.8,No
06/05/2011,0,NULO,26.6,13.1,No
07/05/2011,0,NULO,28.9,14.5,No
08/05/2011,0,NULO,30.2,15,No
09/05/2011,0,NULO,29.5,17,No
10/05/2011,0,NULO,30.1,15,No
11/05/2011,1.6,NULO,29.5,17,Si
12/05/2011,0,1.6,29.5,16,No
13/05/2011,0.8,NULO,30.6,16,Si
14/05/2011,0,0.7,28.2,15.6,No
15/05/2011,0.3,NULO,28.7,15.8,Si
16/05/2011,1.7,0.2,29.1,15,Si
17/05/2011,2.3,1.7,29.5,15.5,Si
18/05/2011,0,2.2,29.5,14.8,No
19/05/2011,0,NULO,30.5,15.4,No
20/05/2011,1.6,NULO,30.7,15.5,Si
21/05/2011,0.9,NULO,31.1,14.8,Si
22/05/2011,0,NULO,29.2,15,No
23/05/2011,0,NULO,30.3,17,No
24/05/2011,0,NULO,31.7,16,No
25/05/2011,1.1,NULO,32.5,17.6,Si
26/05/2011,0,1,31.5,17.5,No
27/05/2011,0,NULO,31.5,16.6,No
28/05/2011,0,NULO,30.8,16.5,No
29/05/2011,0,NULO,31.6,17.8,No
30/05/2011,0.6,NULO,30.1,16.8,Si
31/05/2011,0,0.6,26.9,15.4,No
01/06/2011,0,NULO,21,12,No
02/06/2011,0,NULO,26.4,11.5,No
03/06/2011,0,NULO,26.6,12.4,No
04/06/2011,0,NULO,26.1,12,No
05/06/2011,0,NULO,24.9,12.5,No
06/06/2011,0,NULO,26.7,13.6,No
07/06/2011,0,NULO,27.3,12.9,No
08/06/2011,0,NULO,28.1,14.6,No
09/06/2011,0,NULO,28.6,14.8,No
10/06/2011,0,NULO,28.1,15,No
11/06/2011,0,NULO,28.2,11.3,No
12/06/2011,0,NULO,27.5,14,No
13/06/2011,0,NULO,28,13.5,No
14/06/2011,0,NULO,27.6,14.8,No
15/06/2011,0,NULO,29.1,14.6,No
16/06/2011,0,NULO,29.1,14.8,No
17/06/2011,0,NULO,29.3,13.4,No
18/06/2011,0,NULO,27.8,15,No
19/06/2011,0,NULO,28.9,14.9,No
20/06/2011,0.3,NULO,27.1,17.8,Si
21/06/2011,2.2,0.3,23.8,13.8,Si
